rid,tract
W1M1_13000779,51059460100
W1M1_13000792,51059416100
W1M1_14000002,51059451502
W1M1_14000006,51600300100
W1M1_14000009,51059451501
W1M1_14000010,51059461902
W1M1_14000013,51059491103
W1M1_14000055,51059451100
W1M1_14000059,51059452700
W1M1_14000084,51059452801
W1M1_14000087,51059430600
W1M1_14000093,51600300400
W1M1_14000095,51059421800
W1M1_14000107,51059415100
W1M1_14000109,51059452400
W1M1_14000124,51059452801
W1M1_14000138,51059451502
W1M1_14000139,51059420503
W1M1_14000141,51059452801
W1M1_14000143,51059440202
W1M1_14000147,51059451400
W1M1_14000158,51059440202
W1M1_14000162,51059421702
W1M1_14000180,51059452700
W1M1_14000199,51059491103
W1M1_14000208,51059415300
W1M1_14000210,51059491301
W1M1_14000217,51059471402
W1M1_14000225,51059421400
W1M1_14000246,51059450300
W1M1_14000247,51059431802
W1M1_14000256,51059482302
W1M1_14000266,51059420600
W1M1_14000270,51059421400
W1M1_14000273,51059491103
W1M1_14000274,51059452200
W1M1_14000301,51059421701
W1M1_14000302,51059450100
W1M1_14000303,51059452801
W1M1_14000304,51059471402
W1M1_14000311,51059421702
W1M1_14000312,51059452200
W1M1_14000316,51059415100
